State,Best Actions
"((0, 0, 0), 'N')","[(0, 2, 'H', 'L'), (0, 2, 'L', 'H'), (0, 2, 'L', 'L'), (1, 2, 'H', 'L'), (1, 2, 'L', 'H'), (1, 2, 'L', 'L')]"
"((0, 0, 1), 'N')","[(0, 2, 'H', 'L'), (1, 2, 'H', 'L')]"
"((0, 1, 0), 'N')","[(1, 2, 'H', 'L'), (1, 2, 'L', 'H')]"
"((0, 1, 1), 'N')","[(1, 2, 'H', 'L')]"
"((1, 0, 0), 'N')","[(0, 2, 'H', 'L'), (0, 2, 'L', 'H')]"
"((1, 0, 1), 'N')","[(0, 2, 'H', 'L')]"
"((1, 1, 0), 'N')","[(0, 1, 'H', 'L'), (0, 1, 'L', 'H')]"
"((1, 1, 1), 'N')","[(0, 2, 'L', 'H'), (1, 2, 'L', 'H')]"
"((0, 0, 0), 'I')","[(0, 2, 'H', 'L'), (0, 2, 'L', 'H'), (1, 2, 'H', 'L'), (1, 2, 'L', 'H')]"
"((0, 0, 1), 'I')","[(0, 2, 'H', 'L'), (0, 2, 'L', 'H'), (1, 2, 'H', 'L'), (1, 2, 'L', 'H')]"
"((0, 1, 0), 'I')","[(1, 2, 'H', 'L'), (1, 2, 'L', 'H')]"
"((0, 1, 1), 'I')","[(1, 2, 'H', 'L'), (1, 2, 'L', 'H')]"
"((1, 0, 0), 'I')","[(0, 2, 'H', 'L'), (0, 2, 'L', 'H')]"
"((1, 0, 1), 'I')","[(0, 2, 'H', 'L'), (0, 2, 'L', 'H')]"
"((1, 1, 0), 'I')","[(0, 1, 'H', 'L'), (0, 1, 'L', 'H')]"
"((1, 1, 1), 'I')","[(0, 2, 'H', 'L'), (0, 2, 'L', 'H'), (1, 2, 'H', 'L'), (1, 2, 'L', 'H')]"
